year,manufacturer,fuelType,name,transmission,engine,mileage,listingPrice,variant,age
2013.0,Toyota,Hybrid,Toyota Prius 2013 for sale in Karachi,Automatic,1800cc,"156,000 km",4125000.0,Prius,12.0
2008.0,Toyota,Petrol,Toyota Vitz 2008 for sale in Karachi,Automatic,1000cc,"85,000 km",2080000.0,Vitz,17.0
2022.0,Daihatsu,Petrol,Daihatsu Mira 2022 for sale in Karachi,Automatic,660cc,"16,000 km",3575000.0,Mira,3.0
2022.0,Toyota,Petrol,Toyota Passo 2022 for sale in Karachi,Automatic,1000cc,"68,000 km",3990000.0,Passo,3.0
2013.0,Honda,Hybrid,Honda Insight 2013 for sale in Karachi,Automatic,1300cc,"78,000 km",2890000.0,Insight,12.0
2023.0,Toyota,Petrol,Toyota Land Cruiser 2023 for sale in Karachi,Automatic,3500cc,"18,000 km",64800000.0,Land Cruiser,2.0
2020.0,Toyota,Hybrid,Toyota Harrier 2020 for sale in Karachi,Automatic,2500cc,"34,000 km",24500000.0,Harrier,5.0
2024.0,Toyota,Hybrid,Toyota Prius 2024 for sale in Karachi,Automatic,1800cc,"10,000 km",11800000.0,Prius,1.0
2022.0,Toyota,Diesel,Toyota Hilux 2022 for sale in Karachi,Automatic,2800cc,"54,000 km",13150000.0,Hilux,3.0
2020.0,Toyota,Petrol,Toyota Raize 2020 for sale in Karachi,Automatic,1000cc,"12,000 km",6175000.0,Raize,5.0
2022.0,Honda,Petrol,Honda Civic 2022 for sale in Karachi,Automatic,1500cc,"16,000 km",7700000.0,Civic,3.0
2022.0,Toyota,Petrol,Toyota Corolla 2022 for sale in Karachi,Automatic,1598cc,"46,000 km",6100000.0,Corolla,3.0
2011.0,Lexus,Petrol,Lexus RX Series 2011 for sale in Karachi,Automatic,3500cc,"104,730 km",7650000.0,RX Series,14.0
1997.0,Honda,Petrol,Honda City 1997 for sale in Karachi,Manual,1300cc,"200,000 km",790000.0,City,28.0
2024.0,Suzuki,Petrol,Suzuki Every 2024 for sale in Karachi,Automatic,660cc,"120,000 km",2600000.0,Every,1.0
2022.0,Toyota,Petrol,Toyota Raize 2022 for sale in Karachi,Automatic,1000cc,"44,500 km",5850000.0,Raize,3.0
2004.0,Mercedes Benz,Petrol,Mercedes Benz SLK Class 2004 for sale in Karachi,Automatic,1800cc,"67,000 km",6850000.0,Benz SLK Class,21.0
2020.0,Toyota,Diesel,Toyota Hilux 2020 for sale in Karachi,Automatic,2800cc,"75,000 km",18000000.0,Hilux,5.0
2021.0,Toyota,Petrol,Toyota Corolla 2021 for sale in Karachi,Automatic,1800cc,"51,000 km",5950000.0,Corolla,4.0
2024.0,Suzuki,Petrol,Suzuki Alto 2024 for sale in Karachi,Automatic,660cc,"23,600 km",3095000.0,Alto,1.0
2022.0,Suzuki,Petrol,Suzuki Alto 2022 for sale in Karachi,Automatic,660cc,"46,300 km",2775000.0,Alto,3.0
1997.0,Suzuki,CNG,Suzuki Khyber 1997 for sale in Karachi,Manual,1000cc,"85,000 km",335000.0,Khyber,28.0
2021.0,KIA,Petrol,KIA Sportage 2021 for sale in Karachi,Automatic,2000cc,"35,000 km",7200000.0,Sportage,4.0
2005.0,Toyota,Petrol,Toyota Corolla Fielder 2005 for sale in Karachi,Automatic,1800cc,"150,000 km",4800000.0,Corolla Fielder,20.0
2022.0,Suzuki,Petrol,Suzuki Alto 2022 for sale in Karachi,Manual,660cc,"62,000 km",2350000.0,Alto,3.0
2004.0,Mercedes Benz,Petrol,Mercedes Benz SLK Class 2004 for sale in Karachi,Automatic,1800cc,"67,000 km",6850000.0,Benz SLK Class,21.0
2021.0,Toyota,Petrol,Toyota Corolla 2021 for sale in Karachi,Automatic,1800cc,"51,000 km",5950000.0,Corolla,4.0
2024.0,Suzuki,Petrol,Suzuki Alto 2024 for sale in Karachi,Automatic,660cc,"23,600 km",3095000.0,Alto,1.0
2022.0,Suzuki,Petrol,Suzuki Alto 2022 for sale in Karachi,Automatic,660cc,"46,300 km",2775000.0,Alto,3.0
2005.0,Toyota,Petrol,Toyota Corolla Fielder 2005 for sale in Karachi,Automatic,1800cc,"150,000 km",4800000.0,Corolla Fielder,20.0
2018.0,Honda,Petrol,Honda Civic 2018 for sale in Karachi,Automatic,1800cc,"55,000 km",4700000.0,Civic,7.0
2016.0,Honda,Petrol,Honda Civic 2016 for sale in Karachi,Automatic,1500cc,"51,000 km",5100000.0,Civic,9.0
2020.0,Toyota,Petrol,Toyota Raize 2020 for sale in Karachi,Automatic,1000cc,"47,000 km",5700000.0,Raize,5.0
2024.0,MG,Petrol,MG HS 2024 for sale in Karachi,Automatic,1500cc,"16,000 km",7300000.0,HS,1.0
2010.0,Toyota,Petrol,Toyota Passo 2010 for sale in Karachi,Automatic,1000cc,"112,000 km",2080000.0,Passo,15.0
2012.0,Toyota,Petrol,Toyota Passo 2012 for sale in Karachi,Automatic,1000cc,"140,000 km",2150000.0,Passo,13.0
2017.0,Nissan,Petrol,Nissan Dayz 2017 for sale in Karachi,Automatic,660cc,"75,000 km",2700000.0,Dayz,8.0
2005.0,Toyota,Petrol,Toyota Premio 2005 for sale in Karachi,Automatic,1500cc,"130,000 km",3100000.0,Premio,20.0
2014.0,Toyota,Petrol,Toyota Vitz 2014 for sale in Karachi,Automatic,1000cc,"100,000 km",2700000.0,Vitz,11.0
2019.0,Toyota,Petrol,Toyota Corolla 2019 for sale in Karachi,Automatic,1300cc,"35,000 km",4970000.0,Corolla,6.0
2013.0,Toyota,Petrol,Toyota Vitz 2013 for sale in Karachi,Automatic,1000cc,"150,000 km",2590000.0,Vitz,12.0
2004.0,Honda,Petrol,Honda Civic 2004 for sale in Karachi,Automatic,1600cc,"125,000 km",1650000.0,Civic,21.0
2012.0,Daihatsu,Petrol,Daihatsu Atrai Wagon 2012 for sale in Karachi,Automatic,660cc,"104,000 km",1680000.0,Atrai Wagon,13.0
2012.0,Honda,Petrol,Honda Civic 2012 for sale in Karachi,Automatic,1800cc,"86,000 km",2320000.0,Civic,13.0
2010.0,Toyota,Petrol,Toyota Passo 2010 for sale in Karachi,Automatic,1000cc,"112,000 km",2200000.0,Passo,15.0
2017.0,Toyota,Hybrid,Toyota Sienta 2017 for sale in Karachi,Automatic,1500cc,"126,000 km",5400000.0,Sienta,8.0
